coolant pipe clamps need adjusting with loctite,PhysicalObject/HoldingObject/PositioningObject,coolant pipe clamps,needs loctite
replace unserviceable guide,PhysicalObject/GuidingObject/OpenEnclosureGuidingObject,guide,unserviceable
drag rope pump hose needs replacing,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,drag rope pump hose,needs replacing
unserviceable controller filter hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,controller filter hose,unserviceable
pump contamination switch found unserviceable,PhysicalObject/SensingObject/ConcentrationSensingObject,pump contamination switch,unserviceable
walk motor brake switches need to be cleaned,PhysicalObject/HumanInteractionObject/HandInteractionObject,walk motor brake switches,need cleaning
air tank safety valve has leak,PhysicalObject/ProtectingObject/PressureProtectingObject,air tank safety valve,leaking
grease missing from clevis pin,PhysicalObject/HoldingObject/FasteningObject,clevis pin,no grease
dogbone pin is without grease,PhysicalObject/HoldingObject/FasteningObject,dogbone pin,no grease
clean walk motor brake switches needed,PhysicalObject/HumanInteractionObject/HandInteractionObject,walk motor brake switches,need cleaning
steering column movement,PhysicalObject/TransformingObject/MechanicalEnergyTransformingObject,steering column,movement
engine air conditioner hose needs replacing,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,engine air conditioner hose,needs replaced
cooler hose clamp is broken,PhysicalObject/HoldingObject/PositioningObject,cooler hose clamp,broken
fuse keeps blowing out,PhysicalObject/ProtectingObject/OvercurrentProtectingObject,fuse,keep blowing
boom hose requires extending,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,boom hose,needs extending
fuel leaking from drag brake pump,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,drag brake pump,leak fuel
auto-greaser door window needs a replacement,PhysicalObject/ControllingObject/SpaceAccessObject,auto-greaser door window,needs replacing
compressor bearing is noisy,PhysicalObject/HoldingObject/JointingObject,compressor bearing,noisy
slew pump bolt requires loctite,PhysicalObject/HoldingObject/FasteningObject,slew pump bolt,needs loctite
engine pump o-ring is blown,PhysicalObject/CoveringObject/InfillingObject,engine pump o-ring,blown
brake has temperature error,PhysicalObject/RestrictingObject/MovementRestrictingObject,brake,temperature error
dragline air conditioner fuse blowing repeatedly,PhysicalObject/ProtectingObject/OvercurrentProtectingObject,dragline air conditioner fuse,keep blowing
cooler hose has blown,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler hose,blown
engine mount movement detected,PhysicalObject/HoldingObject/StructuralSupportingObject,engine mount,movement
drag rope pump hose is leaking,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,drag rope pump hose,leak
fan hose requires replacement,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,fan hose,needs replaced
replace leaking pump drive,PhysicalObject/DrivingObject/ElectromagneticRotationalDrivingObject,pump drive,leaking
fix leaks in transmission oil,PhysicalObject/ProtectingObject/WearProtectingObject,transmission oil,leaks
leaking drag motor hoses,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,drag motor hoses,leaking
rock deflector has a crack,PhysicalObject/ProtectingObject/EnvironmentProtectingObject,rock deflector,crack
cooler pump hose leaking fuel,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler pump hose,leaking fuel
repair crack on gantry,PhysicalObject,gantry,crack
box coupling found unserviceable,PhysicalObject/InterfacingObject/NonDetachableCoupling,box coupling,unserviceable
replace noisy drag roller bearing,PhysicalObject/HoldingObject/JointingObject,drag roller bearing,noisy
repair cracks in cross braces,PhysicalObject/HoldingObject/ReinforcingObject,cross braces,cracks
equalizer bar bearing making noise,PhysicalObject/HoldingObject/JointingObject,equalizer bar bearing,noisy
cabin air conditioner belt is broken,PhysicalObject/GuidingObject/MechanicalEnergyGuidingObject,cabin air conditioner belt,broken
fuse for dragline air conditioner keeps blowing,PhysicalObject/ProtectingObject/OvercurrentProtectingObject,dragline air conditioner fuse,keep blowing
leak in walk motor brake pump,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,walk motor brake pump,leak
drag motor hoses leaking,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,drag motor hoses,leaking
steering pin without grease,PhysicalObject/HoldingObject/FasteningObject,steering pin,no grease
replace cabin air conditioner hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cabin air conditioner hose,needs replaced
cracked cabin mounts,PhysicalObject/HoldingObject/StructuralSupportingObject,cabin mounts,cracks
slew pump chip sensor alarm,PhysicalObject/SensingObject/ConcentrationSensingObject,slew pump chip sensor,alarm
pump chip sensor harness found unserviceable,PhysicalObject/HoldingObject/StructuralSupportingObject,pump chip sensor harness,unserviceable
replace leaking air shaft input seal,PhysicalObject/CoveringObject/InfillingObject,shaft input seal,leaking air
repair crack in tank,PhysicalObject,tank,crack
replace blown line,PhysicalObject,line,blown
condenser fan hose leaking air,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,condenser fan hose,leaking air
inverter batteries have no charge,PhysicalObject/GeneratingObject/ChemicalToElectricalEnergyGeneratingObject,inverter batteries,no charge
transmission has slipping fault,PhysicalObject/TransformingObject/MechanicalEnergyTransformingObject,transmission,slipping fault
dragline air conditioner needs to change out,PhysicalObject/EmittingObject/ElectricCoolingObject,dragline air conditioner,need change out
hitch hose requires replacing,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,hitch hose,needs replacing
dragline air conditioner requires change out,PhysicalObject/EmittingObject/ElectricCoolingObject,dragline air conditioner,need change out
wiper motor hose has oil leak,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,wiper motor hose,leak oil
differential pump bolt needs replacing,PhysicalObject/HoldingObject/FasteningObject,differential pump bolt,needs replacing
transmission hose has oil leak,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,transmission hose,leak oil
repair cracked fuel tank,PhysicalObject,fuel tank,cracked
leak in dust,PhysicalObject/Substance/Solid,dust,leak
extend brake pump hose needed,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,brake pump hose,needs extending
dust flap needs to be replaced,PhysicalObject/ProtectingObject/EnvironmentProtectingObject,dust flap,needs replaced
replace leaking differential pump oil,PhysicalObject/ProtectingObject/WearProtectingObject,differential pump oil,leak
replace blown air conditioner fan hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,air conditioner fan hose,blown
needs clean out for slew pump hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,slew pump hose,needs clean out
cabin mounts have cracks,PhysicalObject/HoldingObject/StructuralSupportingObject,cabin mounts,cracks
diverter valve is leaking dust,PhysicalObject/ControllingObject/SolidSubstanceFlowVaryingObject,diverter valve,leak dust
brake pump hose has a leak,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,brake pump hose,leak
pressure compensator has weeping,PhysicalObject/ProtectingObject/PressureProtectingObject,pressure compensator,weeping
leak in differential pump oil,PhysicalObject/ProtectingObject/WearProtectingObject,differential pump oil,leak
leaking grease,PhysicalObject/ProtectingObject/WearProtectingObject,grease,leak
hoist drag brake is out of adjustment,PhysicalObject/RestrictingObject/MovementRestrictingObject,hoist drag brake,out of adjustment
air brake line needs to be replaced,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,air brake line,needs replacing
operator cabin air conditioner hose is blown,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,operator cabin air conditioner hose,blown
wiper fuse keeps blowing repeatedly,PhysicalObject/ProtectingObject/OvercurrentProtectingObject,wiper fuse,keeps blowing
replace leaking parts washer pump oil,PhysicalObject/ProtectingObject/WearProtectingObject,parts washer pump oil,leaking
lights fuse fault,PhysicalObject/ProtectingObject/OvercurrentProtectingObject,lights fuse,fault
repair leaking brake filter hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,brake filter hose,leaking
operator cabin air conditioner hose requires replacement,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,operator cabin air conditioner hose,needs replaced
extending needed for brake pump hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,brake pump hose,needs extending
air conditioner compressor keeps tripping out,PhysicalObject/GeneratingObject/GaseousFlowGeneratingObject,operator cabin air conditioner compressor,tripping out
repair broken exhaust clamp,PhysicalObject/HoldingObject/PositioningObject,exhaust clamp,broken
engine pump leaking oil,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,engine pump,leaking
belly plate bolt needs replaced,PhysicalObject/HoldingObject/FasteningObject,belly plate bolt,needs replaced
weightometer is not working,PhysicalObject/SensingObject/ForceSensingObject,weightometer,not working
cabin has missing smoke detector,PhysicalObject/HoldingObject/EnclosingObject,cabin,missing smoke detector
brake pump bolt needs locking adhesive,PhysicalObject/HoldingObject/FasteningObject,brake pump bolt,needs loctite
steering pump hose needs a replacement,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,steering pump hose,needs replaced
replace the dogbone bolt,PhysicalObject/HoldingObject/FasteningObject,dogbone bolt,needs replaced
repair leaking head pulley shaft input seal,PhysicalObject/CoveringObject/InfillingObject,head pulley shaft input seal,leaking
hose has oil leak,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,hose,leak oil
oil found on revolving frame,PhysicalObject/HoldingObject/StructuralSupportingObject,revolving frame,found oil
replace cabin seat needed,PhysicalObject/StoringObject/OpenStationaryStoringObject,cabin seat,needs replacing
drag blower inverter earthing out,PhysicalObject/TransformingObject/ElectricEnergyConvertingObject,drag blower inverter,earthing out
replace cabin door struts needed,PhysicalObject/HoldingObject/StructuralSupportingObject,cabin door struts,require replacing
pump bolt found missing,PhysicalObject/HoldingObject/FasteningObject,pump bolt,missing
motor hose needs to be extended,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,motor hose,needs extending
replace leaking brake pump hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,brake pump hose,leaking
pump contamination switch is unserviceable,PhysicalObject/SensingObject/ConcentrationSensingObject,pump contamination switch,unserviceable
belly plate bolt needs to be replaced,PhysicalObject/HoldingObject/FasteningObject,belly plate bolt,needs replaced
replace weeping pressure compensator,PhysicalObject/ProtectingObject/PressureProtectingObject,pressure compensator,weeping
earthing issue with inverter,PhysicalObject/TransformingObject/ElectricEnergyConvertingObject,inverter,earthing out
shaft needs replacing,PhysicalObject/GuidingObject/MechanicalEnergyGuidingObject,shaft,requires replacing
cooler hose clamp found broken,PhysicalObject/HoldingObject/PositioningObject,cooler hose clamp,broken
leak of hydraulic oil from cooler fan hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,cooler fan hose,leak hydraulic oil
walk motor brake pump leaking,PhysicalObject/GeneratingObject/LiquidFlowGeneratingObject,walk motor brake pump,leak
dirt chute has cracks,PhysicalObject/GuidingObject/SolidMatterGuidingObject,dirt chute,cracks
leak air in dragline air conditioner hose,PhysicalObject/GuidingObject/ClosedEnclosureGuidingObject,dragline air conditioner hose,leak air
apply loctite to cabin seat,PhysicalObject/StoringObject/OpenStationaryStoringObject,cabin seat,needs loctite
