Physical Object,Undesirable Event,Helper PO/Event,Valid
transmission,leak,coolant,
radiator tank,leak,coolant,
door,leak,coolant,
high voltage slip ring,leak,coolant,
swingbox,leak,coolant,
cover plate,leak,coolant,
window,leak,coolant,
differential,leak,coolant,
air compressor,leak,coolant,
pilot filter,leak,coolant,
coupling,leak,coolant,
hose,leak,coolant,
exhaust,leak,coolant,
diverter valve,leak,fuel,
fuel tank,leak,fuel,
accumulator,leak,fuel,
solenoid,leak,fuel,
jacket water pump,leak,fuel,
radiator,leak,fuel,
engine,leak,fuel,
oil cooler,leak,fuel,
safety valve,leak,fuel,
transmission,leak,fuel,
pump,leak,fuel,
radiator tank,leak,fuel,
door,leak,fuel,
high voltage slip ring,leak,fuel,
swingbox,leak,fuel,
cover plate,leak,fuel,
window,leak,fuel,
differential,leak,fuel,
air compressor,leak,fuel,
pilot filter,leak,fuel,
coupling,leak,fuel,
hose,leak,fuel,
exhaust,leak,fuel,
diverter valve,leak,grease,
fuel tank,leak,grease,
accumulator,leak,grease,
solenoid,leak,grease,
jacket water pump,leak,grease,
radiator,leak,grease,
engine,leak,grease,
oil cooler,leak,grease,
safety valve,leak,grease,
transmission,leak,grease,
pump,leak,grease,
radiator tank,leak,grease,
door,leak,grease,
swingbox,leak,grease,
cover plate,leak,grease,
window,leak,grease,
differential,leak,grease,
air compressor,leak,grease,
pilot filter,leak,grease,
coupling,leak,grease,
hose,leak,grease,
exhaust,leak,grease,
diverter valve,leak,air,
fuel tank,leak,air,
accumulator,leak,air,
solenoid,leak,air,
jacket water pump,leak,air,
radiator,leak,air,
engine,leak,air,
oil cooler,leak,air,
transmission,leak,air,
pump,leak,air,
radiator tank,leak,air,
high voltage slip ring,leak,air,
swingbox,leak,air,
cover plate,leak,air,
window,leak,air,
differential,leak,air,
air compressor,leak,air,
pilot filter,leak,air,
coupling,leak,air,
hose,leak,air,
exhaust,leak,air,
taps,leaking,dust,
lube hose,leaking,dust,
pilot valve,leaking,dust,
gasket,leaking,dust,
pump,leaking,dust,
hoist cylinder,leaking,dust,
scavenge pump,leaking,dust,
input seal,leaking,dust,
cooling return hose,leaking,dust,
steering hose,leaking,dust,
hmu,leaking,dust,
relief valves,leaking,dust,
chord,leaking,dust,
plug,leaking,dust,
filter,leaking,dust,
lube pump,leaking,dust,
tap,leaking,dust,
stick cylinders,leaking,dust,
safety valve,leaking,dust,
pressure compensator,leaking,dust,
accessory drive,leaking,dust,
bulk fuel tank,leaking,dust,
hoses,leaking,dust,
cooling hose,leaking,dust,
charge hose,leaking,dust,
centrifugal filter,leaking,dust,
drive,leaking,dust,
coolant hose,leaking,dust,
water separator,leaking,dust,
stick cylinder,leaking,dust,
air conditioner,leaking,dust,
hose,leaking,dust,
adaptor,leaking,dust,
implement pump,leaking,dust,
fitting,leaking,dust,
steering cylinder,leaking,dust,
hydraulic hose,leaking,dust,
lift cylinder,leaking,dust,
auto-greaser,leaking,dust,
duo-cone seals,leaking,dust,
relay valve,leaking,dust,
grease distributor,leaking,dust,
transfer pipe,leaking,dust,
accumulator,leaking,dust,
chip indicators,leaking,dust,
engine,leaking,dust,
line,leaking,dust,
pressure control valve,leaking,dust,
taps,leaking,coolant,
lube hose,leaking,coolant,
pilot valve,leaking,coolant,
gasket,leaking,coolant,
pump,leaking,coolant,
hoist cylinder,leaking,coolant,
scavenge pump,leaking,coolant,
input seal,leaking,coolant,
cooling return hose,leaking,coolant,
steering hose,leaking,coolant,
hmu,leaking,coolant,
seals,leaking,coolant,
relief valves,leaking,coolant,
chord,leaking,coolant,
plug,leaking,coolant,
filter,leaking,coolant,
lube pump,leaking,coolant,
tap,leaking,coolant,
stick cylinders,leaking,coolant,
safety valve,leaking,coolant,
pressure compensator,leaking,coolant,
accessory drive,leaking,coolant,
bulk fuel tank,leaking,coolant,
hoses,leaking,coolant,
cooling hose,leaking,coolant,
charge hose,leaking,coolant,
centrifugal filter,leaking,coolant,
drive,leaking,coolant,
coolant hose,leaking,coolant,
water separator,leaking,coolant,
stick cylinder,leaking,coolant,
air conditioner,leaking,coolant,
hose,leaking,coolant,
adaptor,leaking,coolant,
implement pump,leaking,coolant,
fitting,leaking,coolant,
steering cylinder,leaking,coolant,
hydraulic hose,leaking,coolant,
lift cylinder,leaking,coolant,
auto-greaser,leaking,coolant,
duo-cone seals,leaking,coolant,
relay valve,leaking,coolant,
grease distributor,leaking,coolant,
transfer pipe,leaking,coolant,
accumulator,leaking,coolant,
chip indicators,leaking,coolant,
engine,leaking,coolant,
line,leaking,coolant,
pressure control valve,leaking,coolant,
taps,leaking,air,
lube hose,leaking,air,
pilot valve,leaking,air,
gasket,leaking,air,
pump,leaking,air,
hoist cylinder,leaking,air,
scavenge pump,leaking,air,
input seal,leaking,air,
cooling return hose,leaking,air,
steering hose,leaking,air,
hmu,leaking,air,
seals,leaking,air,
relief valves,leaking,air,
plug,leaking,air,
filter,leaking,air,
lube pump,leaking,air,
tap,leaking,air,
stick cylinders,leaking,air,
safety valve,leaking,air,
pressure compensator,leaking,air,
accessory drive,leaking,air,
bulk fuel tank,leaking,air,
hoses,leaking,air,
cooling hose,leaking,air,
charge hose,leaking,air,
centrifugal filter,leaking,air,
drive,leaking,air,
coolant hose,leaking,air,
water separator,leaking,air,
stick cylinder,leaking,air,
air conditioner,leaking,air,
hose,leaking,air,
adaptor,leaking,air,
implement pump,leaking,air,
fitting,leaking,air,
steering cylinder,leaking,air,
hydraulic hose,leaking,air,
lift cylinder,leaking,air,
auto-greaser,leaking,air,
duo-cone seals,leaking,air,
relay valve,leaking,air,
grease distributor,leaking,air,
transfer pipe,leaking,air,
accumulator,leaking,air,
chip indicators,leaking,air,
engine,leaking,air,
pressure control valve,leaking,air,
taps,leaking,centrifugal oil filter,
lube hose,leaking,centrifugal oil filter,
pilot valve,leaking,centrifugal oil filter,
gasket,leaking,centrifugal oil filter,
pump,leaking,centrifugal oil filter,
hoist cylinder,leaking,centrifugal oil filter,
scavenge pump,leaking,centrifugal oil filter,
input seal,leaking,centrifugal oil filter,
cooling return hose,leaking,centrifugal oil filter,
steering hose,leaking,centrifugal oil filter,
hmu,leaking,centrifugal oil filter,
seals,leaking,centrifugal oil filter,
relief valves,leaking,centrifugal oil filter,
chord,leaking,centrifugal oil filter,
plug,leaking,centrifugal oil filter,
lube pump,leaking,centrifugal oil filter,
tap,leaking,centrifugal oil filter,
stick cylinders,leaking,centrifugal oil filter,
safety valve,leaking,centrifugal oil filter,
pressure compensator,leaking,centrifugal oil filter,
accessory drive,leaking,centrifugal oil filter,
bulk fuel tank,leaking,centrifugal oil filter,
hoses,leaking,centrifugal oil filter,
cooling hose,leaking,centrifugal oil filter,
charge hose,leaking,centrifugal oil filter,
centrifugal filter,leaking,centrifugal oil filter,
drive,leaking,centrifugal oil filter,
coolant hose,leaking,centrifugal oil filter,
water separator,leaking,centrifugal oil filter,
stick cylinder,leaking,centrifugal oil filter,
air conditioner,leaking,centrifugal oil filter,
hose,leaking,centrifugal oil filter,
adaptor,leaking,centrifugal oil filter,
implement pump,leaking,centrifugal oil filter,
fitting,leaking,centrifugal oil filter,
steering cylinder,leaking,centrifugal oil filter,
hydraulic hose,leaking,centrifugal oil filter,
lift cylinder,leaking,centrifugal oil filter,
auto-greaser,leaking,centrifugal oil filter,
duo-cone seals,leaking,centrifugal oil filter,
relay valve,leaking,centrifugal oil filter,
grease distributor,leaking,centrifugal oil filter,
transfer pipe,leaking,centrifugal oil filter,
accumulator,leaking,centrifugal oil filter,
chip indicators,leaking,centrifugal oil filter,
engine,leaking,centrifugal oil filter,
line,leaking,centrifugal oil filter,
pressure control valve,leaking,centrifugal oil filter,
taps,leaking,fuel,
lube hose,leaking,fuel,
pilot valve,leaking,fuel,
gasket,leaking,fuel,
pump,leaking,fuel,
hoist cylinder,leaking,fuel,
scavenge pump,leaking,fuel,
input seal,leaking,fuel,
cooling return hose,leaking,fuel,
steering hose,leaking,fuel,
hmu,leaking,fuel,
seals,leaking,fuel,
relief valves,leaking,fuel,
chord,leaking,fuel,
plug,leaking,fuel,
filter,leaking,fuel,
lube pump,leaking,fuel,
tap,leaking,fuel,
stick cylinders,leaking,fuel,
safety valve,leaking,fuel,
pressure compensator,leaking,fuel,
accessory drive,leaking,fuel,
bulk fuel tank,leaking,fuel,
hoses,leaking,fuel,
cooling hose,leaking,fuel,
charge hose,leaking,fuel,
centrifugal filter,leaking,fuel,
drive,leaking,fuel,
coolant hose,leaking,fuel,
stick cylinder,leaking,fuel,
air conditioner,leaking,fuel,
hose,leaking,fuel,
adaptor,leaking,fuel,
implement pump,leaking,fuel,
fitting,leaking,fuel,
steering cylinder,leaking,fuel,
hydraulic hose,leaking,fuel,
lift cylinder,leaking,fuel,
auto-greaser,leaking,fuel,
duo-cone seals,leaking,fuel,
relay valve,leaking,fuel,
grease distributor,leaking,fuel,
transfer pipe,leaking,fuel,
accumulator,leaking,fuel,
chip indicators,leaking,fuel,
engine,leaking,fuel,
line,leaking,fuel,
pressure control valve,leaking,fuel,
taps,leaking,oil,
lube hose,leaking,oil,
gasket,leaking,oil,
pump,leaking,oil,
hoist cylinder,leaking,oil,
scavenge pump,leaking,oil,
input seal,leaking,oil,
cooling return hose,leaking,oil,
steering hose,leaking,oil,
hmu,leaking,oil,
seals,leaking,oil,
relief valves,leaking,oil,
chord,leaking,oil,
plug,leaking,oil,
filter,leaking,oil,
lube pump,leaking,oil,
tap,leaking,oil,
stick cylinders,leaking,oil,
safety valve,leaking,oil,
pressure compensator,leaking,oil,
bulk fuel tank,leaking,oil,
hoses,leaking,oil,
cooling hose,leaking,oil,
charge hose,leaking,oil,
centrifugal filter,leaking,oil,
coolant hose,leaking,oil,
water separator,leaking,oil,
stick cylinder,leaking,oil,
hose,leaking,oil,
adaptor,leaking,oil,
implement pump,leaking,oil,
fitting,leaking,oil,
steering cylinder,leaking,oil,
hydraulic hose,leaking,oil,
lift cylinder,leaking,oil,
duo-cone seals,leaking,oil,
relay valve,leaking,oil,
grease distributor,leaking,oil,
transfer pipe,leaking,oil,
accumulator,leaking,oil,
chip indicators,leaking,oil,
line,leaking,oil,
pressure control valve,leaking,oil,
pressure compensator,weeping,hose,
exhaust,leaks,oil,
